code,name,price,open,change_pct,volume,market_cap,market
8432,東生華,56.0,56.2,-1.06,30005,2150288000,OTC
8433,弘帆,54.9,54.0,1.67,5000,2992384918,OTC
8435,鉅邁,55.3,55.1,0.36,27182,1753009975,OTC
8436,大江,137.5,138.5,-0.72,751888,15150139125,OTC
8437,大地-KY,15.65,15.5,0.97,64002,735769082,OTC
8440,綠電,25.1,24.7,-0.4,135123,1261407998,OTC
8444,綠河-KY,9.9,10.05,-1.49,50021,1088701433,OTC
8446,華研,94.3,94.1,0.21,34266,4989790361,OTC
8450,霹靂,17.0,16.95,0.0,43050,872268300,OTC
8455,大拓-KY,20.75,20.75,0.0,0,523294250,OTC
8472,夠麻吉,60.8,55.9,9.95,56000,1078336626,OTC
8477,創業家,12.5,12.55,0.81,44001,802132712,OTC
8489,三貝德,37.0,37.0,0.0,66020,2194059189,OTC
8905,裕國,39.35,39.15,1.29,440130,4537723774,OTC
8906,花王,34.95,34.0,2.79,42000,1473492032,OTC
8908,欣雄,41.8,41.8,0.0,95000,13141616375,OTC
8916,光隆,48.05,47.95,0.1,120002,7217636080,OTC
8917,欣泰,56.6,56.7,-1.91,2233,9206102951,OTC
8921,沈氏,18.15,18.25,1.68,3000,845647686,OTC
8923,時報,19.9,19.9,0.0,0,604482388,OTC
8924,大田,70.2,70.9,-0.43,109000,5882759744,OTC
8927,北基,24.0,24.0,1.05,625334,10267112808,OTC
8928,鉅明,25.35,25.35,0.0,19000,1289148919,OTC
8929,富堡,16.45,16.4,-1.2,23968,832055843,OTC
8930,青鋼,31.25,31.3,0.32,71000,2508981250,OTC
8931,大汽電,45.65,43.5,2.7,83000,5580934682,OTC
8932,智通,186.0,189.5,-1.85,814161,65868418824,OTC
8933,愛地雅,6.88,6.93,-0.72,776034,2247863255,OTC
8935,邦泰,21.25,21.6,-4.49,1282073,2411768750,OTC
8936,國統,50.9,50.8,0.39,1066226,12627170578,OTC
8937,合騏,145.5,142.5,2.83,220350,15595427394,OTC
8938,明安,67.7,67.2,0.15,543033,10272052836,OTC
8941,關中,46.4,46.4,0.0,3000,1622704194,OTC
8942,森鉅,37.3,37.2,-0.93,211315,7416815959,OTC
9949,琉園,26.4,26.4,-0.56,71100,1162480687,OTC
9950,萬國通,10.55,10.8,-2.31,90000,1769403831,OTC
9951,皇田,55.6,54.7,2.02,110002,4045455888,OTC
9960,邁達康,23.0,22.55,1.77,6000,772627500,OTC
9962,有益,11.6,11.5,1.31,27002,1046552034,OTC
1101,台泥,25.8,25.6,1.18,22932021,193324089883,LISTED
1102,亞泥,35.65,35.55,0.71,10549107,126434976361,LISTED
1103,嘉泥,14.05,13.95,0.72,311071,9255507875,LISTED
1104,環泥,29.5,29.45,0.17,1066608,20257113572,LISTED
1108,幸福,15.15,15.15,0.0,172003,6131781303,LISTED
1109,信大,15.45,15.35,0.65,213317,5270904939,LISTED
1110,東泥,16.4,16.45,-0.3,169000,9346146582,LISTED
1201,味全,14.45,14.5,-0.34,201123,7312610253,LISTED
1203,味王,40.1,39.85,1.52,43098,9532015690,LISTED
1210,大成,51.4,51.1,0.98,1532880,43006756496,LISTED
1213,大飲,9.78,10.15,-3.65,10010,553769276,LISTED
1215,卜蜂,148.5,150.5,-0.34,654943,43776315000,LISTED
1216,統一,73.4,73.8,0.55,7517420,417059909670,LISTED
1217,愛之味,10.55,10.6,0.0,897799,5217116464,LISTED
1218,泰山,18.2,18.1,0.83,338647,8851024371,LISTED
1219,福壽,13.55,13.6,-0.37,420203,4623779897,LISTED
1220,台榮,13.05,12.9,1.16,409705,2302006265,LISTED
1225,福懋油,28.85,28.7,0.52,100004,6989439076,LISTED
1227,佳格,29.45,29.2,1.55,1223180,26752969693,LISTED
1229,聯華,45.35,45.55,0.33,1475698,81118538519,LISTED
1231,聯華食,93.5,92.8,0.75,306880,27905493506,LISTED
1232,大統益,149.5,149.5,1.01,166013,23916262500,LISTED
1233,天仁,32.3,32.25,0.16,22000,2924732630,LISTED
1234,黑松,37.15,36.8,0.68,169347,14929508263,LISTED
1235,興泰,40.95,41.2,-0.61,49000,1861570654,LISTED
1236,宏亞,26.3,26.35,0.19,50100,2279526344,LISTED
1256,鮮活果汁-KY,159.5,155.0,2.9,67004,5705665900,LISTED
1301,台塑,46.5,45.55,2.42,22588689,296006956500,LISTED
1303,南亞,78.8,73.9,8.24,131610327,624948797802,LISTED
1304,台聚,11.7,11.4,2.63,3923992,12545874695,LISTED
1305,華夏,11.9,11.7,1.71,1980223,6914494778,LISTED
1307,三芳,33.0,32.4,7.84,5762392,13127994000,LISTED
1308,亞聚,13.4,13.35,0.75,1014188,7956155973,LISTED
1309,台達化,12.1,11.9,2.11,945360,4810802851,LISTED
1310,台苯,9.01,9.05,-0.11,1618333,0,LISTED
1312,國喬,13.1,12.5,3.97,7987820,15027247626,LISTED
